file,ssim,psnr,lpips
0.tif,0.714813,21.3625,0.284742
1.tif,0.538446,18.7579,0.283986
10.tif,0.500466,18.279,0.381786
100.tif,0.588195,21.3079,0.284047
1000.tif,0.544713,20.0325,0.290523
1001.tif,0.773901,23.5871,0.239095
1002.tif,0.720371,21.6518,0.256187
1003.tif,0.45312,19.7779,0.319962
1004.tif,0.56318,22.4836,0.274541
1005.tif,0.672207,20.3614,0.242279
1006.tif,0.6329,23.1408,0.30407
1007.tif,0.614312,20.675,0.268112
1008.tif,0.579561,22.7893,0.306335
1009.tif,0.470849,18.0186,0.260303
101.tif,0.56552,22.8326,0.266076
1010.tif,0.440605,20.5608,0.30854
1011.tif,0.53115,20.2996,0.26289
1012.tif,0.526822,17.5756,0.337522
1013.tif,0.563694,22.1362,0.30183
1014.tif,0.534191,20.9996,0.239901
1015.tif,0.474907,21.324,0.28632
1016.tif,0.597871,21.0339,0.268886
1017.tif,0.68811,21.8406,0.250109
1018.tif,0.52823,20.3162,0.301833
1019.tif,0.740171,24.6633,0.25279
102.tif,0.540526,21.701,0.254981
1020.tif,0.558618,20.3349,0.244346
1021.tif,0.509096,21.3266,0.315884
1022.tif,0.598467,21.2447,0.259806
1023.tif,0.497471,21.4355,0.263938
1024.tif,0.488874,20.8974,0.283416
1025.tif,0.516543,19.149,0.300047
1026.tif,0.624963,19.3088,0.262692
1027.tif,0.552117,22.6559,0.290754
1028.tif,0.514238,22.0289,0.277659
1029.tif,0.529358,21.0868,0.262657
103.tif,0.493383,20.5382,0.305042
1030.tif,0.572685,21.0039,0.230601
1031.tif,0.512308,19.8236,0.220347
1032.tif,0.556082,20.0133,0.301572
1033.tif,0.567452,21.7485,0.295659
1034.tif,0.655719,21.4399,0.276602
1035.tif,0.592815,22.403,0.259348
1036.tif,0.674248,22.8067,0.261113
1037.tif,0.59689,19.4235,0.248953
1038.tif,0.554671,19.7145,0.323882
1039.tif,0.667793,23.1628,0.238449
104.tif,0.560531,22.8975,0.255303
1040.tif,0.702574,22.2141,0.230595
1041.tif,0.567607,18.5756,0.280338
1042.tif,0.534077,21.1799,0.278222
1043.tif,0.621188,23.6716,0.266206
1044.tif,0.593587,20.9031,0.294161
1045.tif,0.587027,20.6387,0.270838
1046.tif,0.548625,16.7561,0.278861
1047.tif,0.556674,20.3397,0.298943
1048.tif,0.760809,25.3441,0.218113
1049.tif,0.531323,20.4904,0.273443
105.tif,0.69666,24.3552,0.302603
1050.tif,0.467029,18.0986,0.301472
1051.tif,0.526692,20.2917,0.293217
1052.tif,0.545142,19.649,0.247507
1053.tif,0.754508,23.3862,0.264918
1054.tif,0.549421,21.0755,0.281353
1055.tif,0.642503,23.0428,0.262607
1056.tif,0.484173,21.383,0.312252
1057.tif,0.693003,22.9398,0.238806
1058.tif,0.650665,22.3301,0.276629
1059.tif,0.540974,22.0314,0.312751
106.tif,0.628516,20.4612,0.271703
1060.tif,0.618743,24.2439,0.288113
1061.tif,0.491017,17.6601,0.273398
1062.tif,0.660129,22.8771,0.322767
1063.tif,0.564767,22.1075,0.240519
1064.tif,0.54633,20.4162,0.29888
1065.tif,0.516015,18.1575,0.29956
1066.tif,0.76792,21.1603,0.258182
1067.tif,0.494052,20.1522,0.323703
1068.tif,0.715687,23.7728,0.237368
1069.tif,0.668946,23.7336,0.293854
107.tif,0.565677,21.7045,0.294884
1070.tif,0.571619,23.1239,0.274032
1071.tif,0.583257,23.2286,0.256332
1072.tif,0.546986,20.532,0.271456
1073.tif,0.544891,20.0109,0.296458
1074.tif,0.489408,18.5763,0.3055
1075.tif,0.530241,19.8158,0.23933
1076.tif,0.659935,20.3934,0.328303
1077.tif,0.552038,22.769,0.256497
1078.tif,0.59695,20.382,0.284454
1079.tif,0.603855,22.8842,0.256855
108.tif,0.575138,22.937,0.263995
1080.tif,0.598656,19.8662,0.285921
1081.tif,0.555427,22.0343,0.277171
1082.tif,0.655885,20.6853,0.260756
1083.tif,0.574958,22.6122,0.265247
1084.tif,0.440225,20.623,0.397473
1085.tif,0.518824,20.7427,0.345611
1086.tif,0.56659,21.7262,0.258819
1087.tif,0.579709,21.6679,0.260498
1088.tif,0.518009,21.2984,0.271129
1089.tif,0.636856,22.2999,0.272014
109.tif,0.550474,19.8937,0.267212
1090.tif,0.512399,18.6817,0.268837
1091.tif,0.522075,19.8704,0.304425
1092.tif,0.552016,21.9678,0.38336
1093.tif,0.521939,20.1713,0.319569
1094.tif,0.502688,23.2118,0.313114
1095.tif,0.516094,18.9665,0.283813
1096.tif,0.64575,23.1768,0.251193
1097.tif,0.56349,22.22,0.313386
1098.tif,0.565892,20.4175,0.250811
1099.tif,0.645858,22.6959,0.293351
11.tif,0.626399,19.7302,0.294277
110.tif,0.617752,19.2645,0.251
1100.tif,0.614831,23.0486,0.30902
1101.tif,0.582062,22.7259,0.348355
1102.tif,0.570978,20.0826,0.239857
1103.tif,0.527943,19.7545,0.235679
1104.tif,0.60441,21.3329,0.256591
1105.tif,0.682188,22.3624,0.245818
1106.tif,0.543036,20.9288,0.314028
1107.tif,0.635138,20.2451,0.273516
1108.tif,0.53754,23.257,0.333477
1109.tif,0.555372,20.7161,0.278711
111.tif,0.547418,17.9085,0.289953
1110.tif,0.577606,21.7426,0.293909
1111.tif,0.499673,20.1121,0.309253
1112.tif,0.554145,21.4666,0.268176
1113.tif,0.601718,22.8565,0.23936
1114.tif,0.513689,20.1906,0.290125
1115.tif,0.610558,20.3211,0.30932
1116.tif,0.491978,18.5347,0.277912
1117.tif,0.639594,21.9292,0.225318
1118.tif,0.762716,24.6462,0.228791
