split,file,ssim,psnr
train,0.tif,0.648768,21.5553
train,1.tif,0.462097,19.6689
train,10.tif,0.757092,20.5043
train,100.tif,0.571995,20.8461
train,1000.tif,0.581452,21.6157
train,10000.tif,0.467715,17.9461
train,10001.tif,0.590334,20.3872
train,10002.tif,0.633762,21.7487
train,10003.tif,0.624303,22.279
train,10004.tif,0.482682,20.4389
train,10005.tif,0.549876,20.8848
train,10006.tif,0.547983,21.5062
train,10007.tif,0.572462,21.7679
train,10008.tif,0.245344,16.8945
train,10009.tif,0.503052,19.1311
train,1001.tif,0.627966,22.5247
train,10010.tif,0.562692,21.4188
train,10011.tif,0.664016,22.7388
train,10012.tif,0.545202,21.4734
train,10013.tif,0.6019,21.6814
train,10014.tif,0.633587,21.1712
train,10015.tif,0.58247,19.1546
train,10016.tif,0.61295,19.353
train,10017.tif,0.553001,19.803
train,10018.tif,0.628243,19.6574
train,10019.tif,0.513575,21.5968
train,1002.tif,0.504765,19.9045
train,10020.tif,0.46414,18.2072
train,10021.tif,0.648242,20.3975
train,10022.tif,0.532128,18.5175
train,10023.tif,0.557624,20.0632
train,10024.tif,0.530634,20.0109
train,10025.tif,0.565898,20.1032
train,10026.tif,0.719342,24.3278
train,10027.tif,0.514253,19.8039
train,10028.tif,0.595778,20.7331
train,10029.tif,0.600856,20.1227
train,1003.tif,0.508242,18.2643
train,10030.tif,0.530979,19.6984
train,10031.tif,0.475216,15.7092
train,10032.tif,0.553384,20.9614
train,10033.tif,0.819926,23.8435
train,10034.tif,0.595629,21.4228
train,10035.tif,0.50115,19.5446
train,10036.tif,0.499199,17.6173
train,10037.tif,0.838112,27.4411
train,10038.tif,0.490211,19.5635
train,10039.tif,0.460303,19.1617
train,1004.tif,0.460192,18.3789
train,10040.tif,0.516937,19.9799
train,10041.tif,0.442213,18.1487
train,10042.tif,0.705848,23.6091
train,10043.tif,0.51111,20.2586
train,10044.tif,0.496725,20.0484
train,10045.tif,0.56645,19.764
train,10046.tif,0.650818,23.2826
train,10047.tif,0.532841,18.8963
train,10048.tif,0.622637,20.6969
train,10049.tif,0.485132,19.6128
train,1005.tif,0.506104,18.921
train,10050.tif,0.520169,20.3095
train,10051.tif,0.547561,20.6372
train,10052.tif,0.590001,18.9771
train,10053.tif,0.547316,19.9404
train,10054.tif,0.834625,20.0017
train,10055.tif,0.525811,18.8898
train,10056.tif,0.639117,21.8974
train,10057.tif,0.582389,20.7576
train,10058.tif,0.576104,20.8302
train,10059.tif,0.659327,20.363
train,1006.tif,0.505081,19.2288
train,10060.tif,0.553923,21.7667
train,10061.tif,0.527445,20.8137
train,10062.tif,0.494088,19.0262
train,10063.tif,0.520221,20.6742
train,10064.tif,0.661452,23.3163
train,10065.tif,0.498333,20.1214
train,10066.tif,0.544284,17.7429
train,10067.tif,0.596068,20.6453
train,10068.tif,0.727129,24.2957
train,10069.tif,0.555048,20.4048
train,1007.tif,0.447984,17.6938
train,10070.tif,0.590019,21.3375
train,10071.tif,0.570881,20.958
train,10072.tif,0.5353,18.7312
train,10073.tif,0.550337,20.5585
train,10074.tif,0.504487,20.1106
train,10075.tif,0.631176,23.6003
train,10076.tif,0.628536,22.762
train,10077.tif,0.537313,19.4179
train,10078.tif,0.445983,18.4956
train,10079.tif,0.526066,15.4898
train,1008.tif,0.552766,20.536
train,10080.tif,0.529696,20.9198
train,10081.tif,0.877836,26.0261
train,10082.tif,0.467674,18.6371
train,10083.tif,0.59787,21.4276
train,10084.tif,0.553938,20.2071
train,10085.tif,0.60107,20.9354
train,10086.tif,0.644189,21.7576
train,10087.tif,0.508922,17.5405
train,10088.tif,0.667964,24.0554
train,10089.tif,0.480244,20.1389
train,1009.tif,0.834341,21.9841
train,10090.tif,0.534331,20.4556
train,10091.tif,0.777581,23.9754
train,10092.tif,0.661977,21.4996
train,10093.tif,0.662985,22.129
train,10094.tif,0.568199,20.1532
train,10095.tif,0.609778,21.1013
train,10096.tif,0.589828,21.9132
train,10097.tif,0.417726,16.6698
train,10098.tif,0.527632,19.8842
train,10099.tif,0.570129,21.1409
train,101.tif,0.587188,19.7905
train,1010.tif,0.554063,20.2249
train,10100.tif,0.783483,23.8692
train,10101.tif,0.661517,22.5236
train,10102.tif,0.641998,19.7663
train,10103.tif,0.549553,19.9384
train,10104.tif,0.490574,18.096
train,10105.tif,0.53898,18.5184
train,10106.tif,0.627093,22.0758
train,10107.tif,0.558006,20.2345
train,10108.tif,0.432003,18.8202
train,10109.tif,0.669288,24.3788
train,1011.tif,0.527456,18.8178
train,10110.tif,0.631172,20.9516
train,10111.tif,0.604319,19.8659
train,10112.tif,0.50534,19.9943
train,10113.tif,0.565322,19.1507
train,10114.tif,0.823576,24.3607
