split,file,lpips
train,0.tif,0.277982
train,1.tif,0.358674
train,10.tif,0.327254
train,100.tif,0.306746
train,1000.tif,0.320714
train,10000.tif,0.334307
train,10001.tif,0.377806
train,10002.tif,0.34391
train,10003.tif,0.400964
train,10004.tif,0.333871
train,10005.tif,0.334849
train,10006.tif,0.415778
train,10007.tif,0.350281
train,10008.tif,0.675432
train,10009.tif,0.386388
train,1001.tif,0.346091
train,10010.tif,0.515167
train,10011.tif,0.331828
train,10012.tif,0.315673
train,10013.tif,0.387288
train,10014.tif,0.274993
train,10015.tif,0.345404
train,10016.tif,0.329429
train,10017.tif,0.373995
train,10018.tif,0.323371
train,10019.tif,0.307592
train,1002.tif,0.382613
train,10020.tif,0.406946
train,10021.tif,0.365851
train,10022.tif,0.359503
train,10023.tif,0.340383
train,10024.tif,0.390148
train,10025.tif,0.267576
train,10026.tif,0.311865
train,10027.tif,0.364782
train,10028.tif,0.412288
train,10029.tif,0.342648
train,1003.tif,0.406636
train,10030.tif,0.38402
train,10031.tif,0.428549
train,10032.tif,0.403865
train,10033.tif,0.212942
train,10034.tif,0.316388
train,10035.tif,0.358043
train,10036.tif,0.403242
train,10037.tif,0.160082
train,10038.tif,0.38448
train,10039.tif,0.417633
train,1004.tif,0.425025
train,10040.tif,0.358477
train,10041.tif,0.389902
train,10042.tif,0.305517
train,10043.tif,0.338093
train,10044.tif,0.385048
train,10045.tif,0.386802
train,10046.tif,0.308852
train,10047.tif,0.379825
train,10048.tif,0.276589
train,10049.tif,0.407946
train,1005.tif,0.352061
train,10050.tif,0.344945
train,10051.tif,0.335144
train,10052.tif,0.313114
train,10053.tif,0.311628
train,10054.tif,0.226882
train,10055.tif,0.379692
train,10056.tif,0.364837
train,10057.tif,0.363461
train,10058.tif,0.31473
train,10059.tif,0.281544
train,1006.tif,0.393251
train,10060.tif,0.401294
train,10061.tif,0.335793
train,10062.tif,0.381364
train,10063.tif,0.408753
train,10064.tif,0.379918
train,10065.tif,0.356129
train,10066.tif,0.377019
train,10067.tif,0.299769
train,10068.tif,0.401395
train,10069.tif,0.382298
train,1007.tif,0.388672
train,10070.tif,0.361827
train,10071.tif,0.339706
train,10072.tif,0.377893
train,10073.tif,0.343928
train,10074.tif,0.417487
train,10075.tif,0.450177
train,10076.tif,0.330372
train,10077.tif,0.383315
train,10078.tif,0.458571
train,10079.tif,0.384534
train,1008.tif,0.368955
train,10080.tif,0.360513
train,10081.tif,0.127249
train,10082.tif,0.38839
train,10083.tif,0.278352
train,10084.tif,0.356516
train,10085.tif,0.339429
train,10086.tif,0.277147
train,10087.tif,0.416238
train,10088.tif,0.354592
train,10089.tif,0.358797
train,1009.tif,0.258116
train,10090.tif,0.375877
train,10091.tif,0.266533
train,10092.tif,0.269519
train,10093.tif,0.287161
train,10094.tif,0.348053
train,10095.tif,0.338425
train,10096.tif,0.405912
train,10097.tif,0.403863
train,10098.tif,0.351916
train,10099.tif,0.343124
train,101.tif,0.356694
train,1010.tif,0.348382
train,10100.tif,0.289075
train,10101.tif,0.273274
train,10102.tif,0.419143
train,10103.tif,0.397824
train,10104.tif,0.414676
train,10105.tif,0.40646
train,10106.tif,0.349161
train,10107.tif,0.390545
train,10108.tif,0.427892
train,10109.tif,0.418931
train,1011.tif,0.349909
train,10110.tif,0.294912
train,10111.tif,0.279422
train,10112.tif,0.381955
train,10113.tif,0.366827
train,10114.tif,0.257161
train,10115.tif,0.370977
train,10116.tif,0.330203
train,10117.tif,0.376702
train,10118.tif,0.405877
train,10119.tif,0.340754
train,1012.tif,0.337981
train,10120.tif,0.353675
