contrast_factor,ssim_mean,ssim_std,psnr_mean,psnr_std,lpips_mean,lpips_std,n_images
-2.0,0.48806,0.07517,16.4739,2.006,0.35296,0.06912,7373
-1.5,0.49643,0.0755,16.2992,2.0645,0.35603,0.07057,7373
-1.0,0.50186,0.07528,16.1941,2.0821,0.35961,0.07087,7373
-0.5,0.50323,0.07523,16.1952,2.0788,0.36021,0.07094,7373
-0.25,0.50434,0.07509,16.2018,2.0881,0.36184,0.07125,7373
0.0,0.55015,0.04587,13.4136,1.8045,0.69295,0.04707,7373
0.05,0.83015,0.03578,26.1236,1.8656,0.14217,0.02986,7373
0.1,0.93471,0.01583,31.5396,1.902,0.05679,0.01556,7373
0.15,0.96885,0.00824,34.7293,2.0103,0.02814,0.00855,7373
0.2,0.98145,0.00477,36.4446,2.2426,0.01747,0.00541,7373
0.25,0.98676,0.0031,37.3703,2.364,0.01302,0.0041,7373
0.3,0.9892,0.00238,37.8255,2.4833,0.01094,0.00349,7373
0.35,0.99044,0.0021,38.0593,2.5895,0.00992,0.00333,7373
0.4,0.99113,0.00201,38.2295,2.6082,0.00933,0.00327,7373
0.45,0.99152,0.00195,38.335,2.6334,0.00899,0.00315,7373
0.5,0.99175,0.00195,38.3448,2.6708,0.00877,0.00316,7373
0.55,0.9919,0.00192,38.3755,2.6793,0.00865,0.00309,7373
0.6,0.992,0.0019,38.4277,2.6531,0.00854,0.00307,7373
0.65,0.99209,0.00188,38.432,2.6619,0.00844,0.00302,7373
0.7,0.99212,0.00192,38.4481,2.7134,0.00845,0.0031,7373
0.75,0.99214,0.00192,38.4288,2.7011,0.00841,0.0031,7373
0.8,0.99221,0.00185,38.4856,2.6562,0.00832,0.003,7373
0.85,0.9922,0.00191,38.469,2.6892,0.00832,0.00309,7373
0.9,0.99219,0.00191,38.4326,2.7196,0.00835,0.00311,7373
0.95,0.9922,0.0019,38.4698,2.6694,0.00834,0.00307,7373
1.0,1.0,0.0,100.0,0.0,0.0,0.0,7373
1.05,0.99201,0.00191,38.3919,2.6752,0.00845,0.00306,7373
1.1,0.99132,0.00209,38.2444,2.588,0.00905,0.00325,7373
1.15,0.99017,0.00253,37.9308,2.5507,0.01003,0.00361,7373
1.2,0.98864,0.00326,37.5705,2.5378,0.01136,0.00421,7373
1.25,0.9868,0.00419,37.1467,2.5406,0.01299,0.00505,7373
1.3,0.98463,0.00527,36.7131,2.5221,0.01494,0.00609,7373
1.35,0.98223,0.00645,36.2495,2.518,0.0171,0.00733,7373
1.4,0.97959,0.00763,35.7852,2.526,0.01946,0.00839,7373
1.45,0.97675,0.00888,35.3307,2.5269,0.02197,0.00958,7373
1.5,0.97371,0.01015,34.8839,2.5266,0.02468,0.0108,7373
1.55,0.97051,0.01145,34.4561,2.5617,0.02751,0.01213,7373
1.6,0.96716,0.01268,33.9947,2.5317,0.03044,0.01321,7373
1.65,0.96369,0.01396,33.6017,2.563,0.03344,0.0144,7373
1.7,0.96009,0.0152,33.1965,2.5569,0.03659,0.01552,7373
1.75,0.95636,0.01651,32.7979,2.5618,0.03984,0.01681,7373
1.8,0.9526,0.01771,32.4163,2.5618,0.04303,0.0179,7373
1.85,0.9488,0.01893,32.0925,2.5298,0.04629,0.01898,7373
1.9,0.94492,0.02009,31.7716,2.5265,0.04953,0.02006,7373
1.95,0.94097,0.02127,31.4334,2.527,0.05283,0.02108,7373
2.0,0.93698,0.02235,31.1105,2.5117,0.05617,0.02208,7373
