amount,ssim_mean,ssim_std,psnr_mean,psnr_std,lpips_mean,lpips_std,n_images
0.0,0.99381,0.002,38.5437,2.738,0.00817,0.00303,7373
0.0001,0.98159,0.00734,35.3967,2.5626,0.02194,0.01273,7373
0.0003,0.95862,0.01412,32.2557,2.516,0.04614,0.0256,7373
0.0005,0.93751,0.01935,30.3677,2.555,0.06681,0.03435,7373
0.0007,0.91849,0.02369,29.0365,2.6112,0.08447,0.04174,7373
0.001,0.89272,0.02915,27.5861,2.6898,0.10768,0.05078,7373
0.003,0.77709,0.04739,23.1437,3.0913,0.2045,0.08588,7373
0.005,0.70778,0.05275,21.262,3.2538,0.25676,0.09788,7373
0.007,0.66149,0.05356,20.2414,3.2503,0.2891,0.10115,7373
0.01,0.61518,0.0517,19.3417,3.127,0.32039,0.10071,7373
