split,file,ssim,psnr,lpips
train,0.tif,0.657893,21.7937,0.228745
train,1.tif,0.469652,20.2497,0.254156
train,10.tif,0.754125,20.0113,0.303436
train,100.tif,0.595832,21.2931,0.250333
train,1000.tif,0.60093,22.0863,0.271947
train,10000.tif,0.52337,19.2487,0.258651
train,10001.tif,0.656372,22.993,0.25834
train,10002.tif,0.684186,23.9767,0.292539
train,10003.tif,0.624872,23.4431,0.308088
train,10004.tif,0.549944,21.0907,0.287409
train,10005.tif,0.574443,21.121,0.290755
train,10006.tif,0.534497,22.4602,0.271411
train,10007.tif,0.588144,22.7421,0.279065
train,10008.tif,0.240007,17.5868,0.564768
train,10009.tif,0.564682,22.1521,0.29108
train,1001.tif,0.64895,24.1744,0.298226
train,10010.tif,0.535765,20.4321,0.430482
train,10011.tif,0.670278,23.2094,0.268282
train,10012.tif,0.548364,22.7487,0.232225
train,10013.tif,0.621164,21.9101,0.305631
train,10014.tif,0.683583,22.6421,0.208897
train,10015.tif,0.58897,17.7372,0.36616
train,10016.tif,0.630395,20.9583,0.256987
train,10017.tif,0.578967,21.5551,0.293618
train,10018.tif,0.663191,23.5575,0.213384
train,10019.tif,0.546238,23.1272,0.246716
train,1002.tif,0.514986,20.9397,0.285166
train,10020.tif,0.536617,20.6595,0.291601
train,10021.tif,0.646454,22.5458,0.276216
train,10022.tif,0.566746,21.1051,0.274845
train,10023.tif,0.58237,21.2161,0.266232
train,10024.tif,0.530695,21.1407,0.300918
train,10025.tif,0.611028,22.7047,0.215989
train,10026.tif,0.698538,25.6036,0.272816
train,10027.tif,0.578968,21.8512,0.238058
train,10028.tif,0.617978,21.659,0.286872
train,10029.tif,0.643865,22.424,0.248704
train,1003.tif,0.539866,21.0224,0.320483
train,10030.tif,0.577232,22.1891,0.269959
train,10031.tif,0.515144,19.1993,0.336904
train,10032.tif,0.56773,21.8236,0.322545
train,10033.tif,0.793735,24.3158,0.224932
train,10034.tif,0.622571,22.7168,0.256192
train,10035.tif,0.512237,19.7665,0.296887
train,10036.tif,0.560574,22.1324,0.295571
train,10037.tif,0.826004,26.8028,0.183932
train,10038.tif,0.517313,20.7996,0.262741
train,10039.tif,0.470838,21.8573,0.286855
train,1004.tif,0.503303,22.0048,0.293274
train,10040.tif,0.567571,22.622,0.277455
train,10041.tif,0.500437,19.6783,0.302168
train,10042.tif,0.705828,24.099,0.265473
train,10043.tif,0.53828,21.29,0.276073
train,10044.tif,0.530383,21.1559,0.327176
train,10045.tif,0.598798,22.2357,0.274148
train,10046.tif,0.661423,24.9235,0.216833
train,10047.tif,0.533662,21.2589,0.268153
train,10048.tif,0.683223,24.9033,0.208437
train,10049.tif,0.504632,20.6978,0.311447
train,1005.tif,0.589834,21.8814,0.247619
train,10050.tif,0.535189,20.9071,0.282971
train,10051.tif,0.581788,21.72,0.245691
train,10052.tif,0.604154,22.2775,0.253569
train,10053.tif,0.581095,21.2265,0.256278
train,10054.tif,0.830094,19.6287,0.213178
train,10055.tif,0.604987,22.6747,0.295895
train,10056.tif,0.630249,22.0857,0.287379
train,10057.tif,0.58172,23.0775,0.238658
train,10058.tif,0.627923,22.8223,0.244126
train,10059.tif,0.706927,23.698,0.230628
train,1006.tif,0.507952,21.0207,0.320068
train,10060.tif,0.553569,23.0182,0.300878
train,10061.tif,0.57396,22.5294,0.215927
train,10062.tif,0.544696,20.6921,0.299668
train,10063.tif,0.565115,21.9411,0.314365
train,10064.tif,0.647281,23.3086,0.351875
train,10065.tif,0.519689,20.7509,0.303566
train,10066.tif,0.56569,21.3137,0.271495
train,10067.tif,0.638112,23.5147,0.205864
